ip,latency
164.90.160.153,75.93488693237305
164.90.160.153,85.9670639038086
164.90.160.153,88.36197853088379
164.90.160.153,88.44208717346191
164.90.160.153,105.17406463623047
164.90.160.153,86.12203598022461
164.90.160.153,102.1881103515625
164.90.160.153,83.31084251403809
164.90.160.153,88.63687515258789
164.90.160.153,88.42325210571289
164.90.160.153,99.52187538146973
164.90.160.153,85.99567413330078
164.90.160.153,102.01382637023926
164.90.160.153,111.47022247314453
164.90.160.153,105.28206825256348
164.90.160.153,106.8112850189209
164.90.160.153,93.16301345825195
164.90.160.153,90.64602851867676
164.90.160.153,68.95685195922852
164.90.160.153,114.23206329345703
164.90.160.153,90.50107002258301
164.90.160.153,106.11701011657715
164.90.160.153,93.78385543823242
164.90.160.153,104.74801063537598
164.90.160.153,94.3450927734375
164.90.160.153,88.6690616607666
164.90.160.153,106.77599906921387
164.90.160.153,76.16305351257324
164.90.160.153,102.38838195800781
164.90.160.153,65.83929061889648
164.90.160.153,121.07586860656738
164.90.160.153,76.93982124328613
164.90.160.153,92.06914901733398
164.90.160.153,93.47820281982422
164.90.160.153,110.40210723876953
164.90.160.153,142.33803749084473
164.90.160.153,93.77598762512207
164.90.160.153,96.70090675354004
164.90.160.153,81.46405220031738
164.90.160.153,106.45389556884766
164.90.160.153,114.18485641479492
164.90.160.153,86.51494979858398
164.90.160.153,117.10500717163086
164.90.160.153,92.27395057678223
164.90.160.153,74.66387748718262
164.90.160.153,67.15989112854004
164.90.160.153,69.41580772399902
164.90.160.153,73.91715049743652
164.90.160.153,77.4838924407959
164.90.160.153,97.747802734375
164.90.160.153,86.54284477233887
164.90.160.153,52.793025970458984
164.90.160.153,81.09903335571289
164.90.160.153,82.52072334289551
164.90.160.153,79.96010780334473
164.90.160.153,87.6779556274414
164.90.160.153,98.10996055603027
164.90.160.153,81.1011791229248
164.90.160.153,72.86930084228516
164.90.160.153,94.90799903869629
164.90.160.153,88.02199363708496
164.90.160.153,113.92712593078613
164.90.160.153,115.02218246459961
164.90.160.153,105.47184944152832
164.90.160.153,68.74895095825195
164.90.160.153,116.16396903991699
164.90.160.153,89.40696716308594
164.90.160.153,90.78407287597656
164.90.160.153,111.34505271911621
164.90.160.153,87.58997917175293
164.90.160.153,101.01509094238281
164.90.160.153,111.74988746643066
164.90.160.153,
164.90.160.153,73.53782653808594
164.90.160.153,87.58401870727539
164.90.160.153,
164.90.160.153,101.52697563171387
164.90.160.153,78.67193222045898
164.90.160.153,70.28698921203613
164.90.160.153,93.05214881896973
164.90.160.153,105.97896575927734
164.90.160.153,68.53508949279785
164.90.160.153,75.88315010070801
164.90.160.153,94.20514106750488
164.90.160.153,72.90983200073242
164.90.160.153,90.50393104553223
164.90.160.153,197.54981994628906
164.90.160.153,228.18470001220703
164.90.160.153,92.68307685852051
164.90.160.153,86.13181114196777
164.90.160.153,95.75700759887695
164.90.160.153,108.46638679504395
164.90.160.153,120.09501457214355
164.90.160.153,96.54402732849121
164.90.160.153,106.48298263549805
164.90.160.153,97.72896766662598
164.90.160.153,106.36115074157715
164.90.160.153,97.53203392028809
164.90.160.153,112.57815361022949
164.90.160.153,93.89209747314453
164.90.160.153,81.56013488769531
164.90.160.153,91.11595153808594
164.90.160.153,76.4150619506836
164.90.160.153,72.5853443145752
164.90.160.153,85.1900577545166
164.90.160.153,99.96795654296875
164.90.160.153,109.46798324584961
164.90.160.153,96.6958999633789
164.90.160.153,97.42999076843262
164.90.160.153,105.66186904907227
164.90.160.153,95.92676162719727
164.90.160.153,89.82324600219727
164.90.160.153,94.3598747253418
164.90.160.153,89.39003944396973
164.90.160.153,96.72403335571289
164.90.160.153,105.58915138244629
